,recipe_name,Ingredients,Ingredients_alpha
0,"[' Acida à la chakchouka', '']",-   farine -    eau -    sel   -   tomates -  poivrons -   oignon   -     tomate -   tabel -    ail -   poivre rouge -    ras lhanout -    carvi -   mergeuz - œuf  ,"{'poivrons': 339, 'farine': 920, 'œuf': 0, 'tomate': 364, 'tabel': None, 'ail': 259, 'cumin': 332, 'gingembre': 333, 'sel': 778, 'poivre': 339, 'cannelle': 330, 'coriandre': 254, 'allspice': 375, 'clove': 331, 'piment': 362, 'oignon': 348, 'poivre rouge': 339, 'tomates': 364, 'eau': 794, 'mergeuz': None, 'carvi': 326}"
1,"[' Acida marocaine', '']",-     semoule -    beurre -miel -sel -eau  ,"{'miel': 315, 'beurre': 60, 'sel': 778, 'semoule': 869, 'eau': 794}"
2,"[' Acida tunisienne', '']",-   farine -    eau -   beurre -    sel -   eau de rose -sucre      ,"{'eau de rose': None, 'farine': 920, 'sucre': 781, 'beurre': 60, 'sel': 778, 'eau': 794}"
3,"[' Couscous:prèparation', '']",-   semoule   -   semouline -   huile -eau -   sel  ,"{'huile': 901, 'sel': 778, 'semoule': 869, 'eau': 794, 'semouline': 869}"
4,"[' Couscous ceffa', 'mesfouf', '']",-   couscous     -   beurre -    sel -  cannelle -sucre      ,"{'sucre': 781, 'couscous': 864, 'beurre': 60, 'cannelle': 330, 'sel': 778}"
5,"[' Coucous au lait', '']",-   couscous     -    lait  -   sucre     -   noix   -   dattes   -   beurre  ,"{'sucre': 781, 'dattes': 177, 'couscous': 864, 'beurre': 60, 'noix': 297, 'lait': 88}"
6,"[' Couscous au lègumes', '']",-    agneau -   couscous   -   pois chiches   -   fèves  - pommes de terre   -   carottes -   courges - poivrons - piment fort - oignons  s   -  huile -     tomate -   poivre rouge -   tabel -    poivre noir -   sel  ,"{'poivrons': 339, 'pommes de terre': 373, 'couscous': 864, 'huile': 901, 'tomate': 364, 'carottes': 368, 'oignons  s': 348, 'tabel': None, 'agneau': 275, 'pois chiches': 417, 'sel': 778, 'fèves': 284, 'poivre noir': 399, 'poivre rouge': 339, 'piment fort': 362, 'courges': 526}"
7,"[' Couscous bidaoui', '']",-   couscous   -     mouton -   oignons  s -   tomates -   chou  -   courges -   navets -   carottes -   pois chiches   - piment fort -     coriandre -   beurre -  huile -   safran -   poivre noir -    sel  ,"{'navets': 358, 'coriandre': 254, 'couscous': 864, 'beurre': 60, 'huile': 901, 'carottes': 368, 'oignons  s': 348, 'safran': 340, 'mouton': 277, 'pois chiches': 417, 'sel': 778, 'poivre noir': 399, 'tomates': 364, 'piment fort': 362, 'courges': 526, 'chou': 353}"
8,"[' Couscous au poisson ', '']",-   couscous   -   poisson -  pois chiches   -   carottes - pommes de terre   -   chou -   courges - poivrons - oignon      -  huile -     tomate -   harissa -   poivre rouge -    cumin -   sel  ,"{'cumin': 332, 'poivrons': 339, 'pommes de terre': 373, 'couscous': 864, 'huile': 901, 'tomate': 364, 'carottes': 368, 'poisson': 151, 'pois chiches': 417, 'piment rouge ': 362, 'ail': 259, 'coriandre ': 254, 'sel': 778, 'carvi ': 326, ' huile ': 901, 'oignon': 348, 'poivre rouge': 339, 'courges': 526, 'chou': 353}"
9,"[' Couscous au poulet ', '']",-   couscous   - poulet    -   oignons  s - tomate -     pois chiches   -   smen -   cannelle -   safran  -    poivre noir -sel -citron  -   beurre  -   poivre noir  - cannelle  ,"{'couscous': 864, 'tomate': 364, 'beurre': 60, 'poulet': 272, 'oignons  s': 348, 'safran': 340, 'cannelle': 330, 'pois chiches': 417, 'smen': 60, 'sel': 778, 'poivre noir': 399, 'citron': 240}"
