Unnamed: 0,recipe_name,Ingredients,Ingredients_alpha,eng_Ingredients_alpha,Ingredients_string,pays
0,"[' Abats  en ""chminka""', '']",- cœur    -   foie    -   poumons -   pois chiches   -   navets -   huile -   persil -    ail - oignon     -     tomates -    harissa -   poivre rouge -   tabel -    sel  ,"{'cœur': 276, 'foie': 276, 'poumons': 276, 'pois chiches': 417, 'navets': 358, 'huile': 901, 'persil': 338, 'ail': 259, 'oignon': 348, 'tomates': 364, 'piment rouge ': 362, 'coriandre ': 254, 'sel': 778, 'carvi ': 326, ' huile ': 901, 'poivre rouge': 339, 'tabel': 254}","{'meat': 276, 'meat': 276, 'meat': 276, 'chickpea': 417, 'turnip': 358, 'cooking oil': 901, 'parsley': 338, 'garlic ': 259, 'onion': 348, 'tomato': 364, 'capsicum ': 362, 'coriander ': 254, 'salt': 778, 'caraway': 326, 'cooking oil': 901, 'pepper ': 339, 'coriander ': 254} "," 'meat' ,'meat' , 'meat','chickpea' ,'turnip' ,'cooking oil' ,'parsley','garlic' , 'onion','tomato' , 'capsicum' , 'coriander' , 'salt', 'caraway' , 'pepper'",TUNISIE
1,"[' Abats kamounia', '']",- cœur    -   foie -   poumons -  huile -   oignon   -     tomates -    poivre rouge -   tabel -    cumin -    sel  ,"{'cœur': 276, 'foie': 276, 'poumons': 276, 'huile': 901, 'oignon': 348, 'tomates': 364, 'poivre rouge': 339, 'tabel': 254, 'cumin': 332, 'sel': 778}","{'meat': 276, 'meat': 276, 'meat': 276, 'cooking oil': 901, 'onion': 348, 'tomato': 364, 'pepper ': 339, 'coriander ': 254, 'cumin ': 332, 'salt': 778}","'meat'  ,   'meat' ,   'meat' ,  'cooking oil' ,   'onion'   ,     'tomato' ,    'pepper' ,  'coriander' ,    'cumin' ,   'salt' ",TUNISIE
4,"[' Bekbouka tunisienne', '']",-tripes      -poumon      - foie    - cœur    -   blettes -   persil -  huile -    riz -   oignon   -    ail -    menthe       -   tabel -   poivre rouge -    poivre noir -    sel  ,"{'tripes': 276, 'poumon': 276, 'foie': 276, 'cœur': 276, 'blettes': 382, 'persil': 338, 'huile': 901, 'riz': 55, 'oignon': 348, 'ail': 259, 'menthe': 262, 'tabel': 254, 'poivre rouge': 339, 'poivre noir': 399, 'sel': 778}","{'meat': 276, 'meat': 276, 'meat': 276, 'meat': 276, 'chard': 382, 'parsley': 338, 'cooking oil': 901, 'rice': 55, 'onion': 348, 'garlic ': 259, 'cherry pepper': 262, 'coriander ': 254, 'pepper ': 339, 'pepper ': 399, 'salt': 778}  ","'meat'  , 'meat' ,   'meat' ,  'meat' , 'chard'  , 'parsley'  , 'cooking oil' ,    'rice' ,   'onion'  ,    'garlic'  ,    'cherry pepper'  ,   'coriander'  ,   'pepper'  ,    'pepper'  ,    'salt'  ",TUNISIE
12,"[' Langue de veau en tranches farcie ""skhabe"" (en tranches farcies)', '']",- langue       - oœufs -   gruyère -   chapelure -huile   -sel -   viande - oignon     -   persil -   beurre - œuf -    poivre noir -     sel  ,"{'langue': 276, 'oœufs': 0, 'gruyère': 73, 'chapelure': 2, 'huile': 901, 'sel': 778, 'viande': 276, 'oignon': 348, 'persil': 338, 'beurre': 60, 'œuf': 0, 'poivre noir': 399}","{'meat': 276, 'egg': 0, 'gruyere cheese': 73, 'bread': 2, 'cooking oil': 901, 'salt': 778, 'meat': 276, 'onion': 348, 'parsley': 338, 'butter ': 60, 'egg ': 0, 'white pepper': 399} "," 'meat' , 'egg' , 'gruyere cheese' , 'bread' , 'cooking oil'  , 'salt', 'meat' , 'onion' , 'parsley' , 'butter' , 'egg' , 'white pepper' , 'salt'",TUNISIE
13,"[' Langue de veau farci aux olives', '']",- langue   -   viande   -   huile -  ail - œufs   - œufs   -     tomates -   persil -   olives     -   laurier -   thym -   poivre noir -    sel  ,"{'langue': 276, 'viande': 276, 'huile': 901, 'ail': 259, 'œufs': 0, 'tomates': 364, 'persil': 338, 'olives': 307, 'laurier': 305, 'thym': 269, 'poivre noir': 399, 'sel': 778}","{'meat': 276, 'meat': 276, 'cooking oil': 901, 'garlic ': 259, 'egg ': 0, 'tomato': 364, 'parsley': 338, 'olive': 307, 'laurel ': 305, 'thyme ': 269, 'white pepper': 399, 'salt': 778} "," 'meat' , 'meat' , 'cooking oil' , 'garlic' , 'egg' , 'egg' , 'tomato' , 'parsley' , 'olive' , 'laurel' , 'thyme' , 'white pepper' , 'salt'",TUNISIE
16,"[' Medfouna', 'tête de veau aux blettes', '']",-   tete       -   blettes -  huile -haricots  -  ail - oignon vert -     tomates -   tabel -    sel -   poivre rouge -    carvi  ,"{'tete': 276, 'blettes': 382, 'huile': 901, 'haricots ': 284, 'ail': 259, 'oignon vert': 472, 'tomates': 364, 'tabel': 254, 'sel': 778, 'poivre rouge': 339, 'carvi': 326}","{'meat': 276, 'chard': 382, 'cooking oil': 901, 'beans  ': 284, 'garlic ': 259, 'welsh onion': 472, 'tomato': 364, 'coriander ': 254, 'salt': 778, 'pepper': 339, 'caraway': 326}  ","'meat' , 'chard' , 'cooking oil' ,'beans'  , 'garlic' , 'welsh onion' , 'tomato' , 'coriander' , 'salt' , 'pepper' , 'caraway'",TUNISIE
18,"[' Tête d\'agneau rotie ""mosli""', '']",-    tetes    -   huile -   beurre -  ail -   pommes de terre - tomates   - poivrons - oignon     -   harissa -   persil - citron  -    carvi -   cumin  -    tabel -    curcuma  -     muscade     -   poivre noir -sel  ,"{'tetes': 276, 'huile': 901, 'beurre': 60, 'ail': 259, 'pommes de terre': 373, 'tomates': 364, 'poivrons': 339, 'oignon': 348, 'piment rouge ': 362, 'coriandre ': 254, 'sel': 778, 'carvi ': 326, ' huile ': 901, 'persil': 338, 'citron': 240, 'carvi': 326, 'cumin': 332, 'tabel': 254, 'curcuma': 341, 'muscade': 336, 'poivre noir': 399}","{'meat': 276, 'cooking oil': 901, 'butter ': 60, 'garlic ': 259, 'potato ': 373, 'tomato': 364, 'pepper': 339, 'onion': 348, 'capsicum ': 362, 'coriander': 254, 'salt': 778, 'caraway': 326, ' cooking oil': 901, 'parsley': 338, 'lemon': 240, 'caraway': 326, 'cumin': 332, 'coriander ': 254, 'turmeric': 341, 'nutmeg': 336, 'white pepper': 399}  ","'meat' , 'cooking oil' , 'butter' , 'garlic' , 'potato'  ,'tomato' , 'pepper' , 'onion' , 'capsicum' , 'coriander' , 'salt' , 'caraway' , 'cooking oil' , 'parsley' , 'lemon'  , 'caraway'  ,'cumin' ,'coriander' , 'turmeric' , 'white pepper' , 'nutmeg'",TUNISIE
0,"[' Artichauts farcis', '']",-  artichauts   -   beurre -   huile -    farine -    lait -   gruyère   -   oignon   - œuf   -poivre noir -sel -   persil    ,"{'artichauts': 157, 'beurre': 60, 'huile': 901, 'farine': 920, 'lait': 88, 'gruyère': 73, 'oignon': 348, 'œuf': 0, 'poivre noir': 399, 'sel': 778, 'persil': 338}","{'artichoke': 157, 'butter ': 60, 'cooking oil': 901, 'flour ': 920, 'milk': 88, 'gruyere cheese ': 73, 'onion': 348, 'egg': 0, 'pepper': 399, 'salt': 778, 'parsley': 338}  ","'artichoke' , 'butter' , 'cooking oil' , 'flour' , 'milk' , 'gruyere cheese' , 'onion' , 'egg','pepper' ,'salt' , 'parsley'",TUNISIE
1,"[' Aubergines farcies ', '']", -   aubergines - oignon      -    ail -   beurre  - œufs   - œufs   -   persil  -   sel -    poivre noir  -  huile   ,"{'aubergines': 387, 'oignon': 348, 'ail': 259, 'beurre': 60, 'œufs': 0, 'persil': 338, 'sel': 778, 'poivre noir': 399, 'huile': 901}","{'eggplant': 387, 'onion': 348, 'garlic': 259, 'butter': 60, 'egg ': 0, 'parsley': 338, 'salt': 778, 'white pepper': 399, 'cooking oil': 901}  ","'eggplant' , 'onion' , 'garlic' , 'butter' , 'egg' , 'parsley' , 'salt' , 'white pepper' , 'cooking oil'   ",TUNISIE
2,"[' Beignets de cervelle', '']",- cervelle     -   farine - œuf -    ail -   persil      -    cumin  -  poivre noir  -  sel -huile     ,"{'cervelle': 276, 'farine': 920, 'œuf': 0, 'ail': 259, 'persil': 338, 'cumin': 332, 'poivre noir': 399, 'sel': 778, 'huile': 901}","{'meat': 276, 'flour': 920, 'egg ': 0, 'garlic ': 259, 'parsley': 338, 'cumin': 332, 'white pepper': 399, 'salt': 778, 'cooking oil': 901}       ","'meat' , 'flour' , 'egg' , 'garlic' , 'parsley' , 'cumin' , 'white pepper' , 'salt' ,'cooking oil'",TUNISIE
