,recipe_name,Ingredients,Ingredients_alpha
0,"[' Tajine de poisson ', '']",-   poisson blanc      -   tomates - oignons     -  ail  -  huile  olive  - poivron    - piment fort    -   cumin    -    gigembre    -   poivre rouge -   sel  -  piment de cayenne    -   cannelle  -   gingembre -   coriandre -   persil  -  olives    ,"{'cumin': 332, 'coriandre': 254, 'olives': 307, 'poivron': 339, 'ail': 259, 'huile  olive': 979, 'gingembre': 333, 'piment de cayenne': 362, 'cannelle': 330, 'persil': 338, 'poivre rouge': 339, 'poisson blanc': 668, 'sel': 778, 'tomates': 364, 'gigembre': 333, 'piment fort': 362, 'oignons': 348}"
1,"[' Calmars frais ', '']", - calmars -   riz  - oignons      -  huile  olive -   laurier     -   tomates  -   persil  - jaunes  œufs  -   beurre  -    poivre noir  -   sel   ,"{'riz': 55, 'beurre': 60, 'calmars': 147, 'huile  olive': 979, 'persil': 338, 'sel': 778, 'poivre noir': 399, 'tomates': 364, 'jaunes  œufs': None, 'oignons': 348, 'laurier': 305}"
2,"[' Calmars aux navets ', '']",-   calmars  -   navets -   épinards -   pois chiches    -   persil  -     tomate  -   oignons    -  huile  -   tabel  -    poivre rouge  -   poivre noir  -    sel  ,"{'épinards': 396, 'huile': 901, 'tomate': 364, 'tabel': None, 'calmars': 147, 'pois chiches': 417, 'oignons': 348, 'sel': 778, 'poivre noir': 399, 'navets': 358, 'poivre rouge': 339, 'persil': 338}"
3,"[' Calmars à la tunisienne ', '']",-   calmars  - tomates    - poivrons    - piment fort  -     tomate  - oignon      -   oignons  -    sel  -    poivre rouge -   tabel  -    huile  ,"{'poivrons': 339, 'huile': 901, 'tomate': 364, 'tabel': None, 'calmars': 147, 'sel': 778, 'oignon': 348, 'tomates': 364, 'poivre rouge': 339, 'piment fort': 362, 'oignons': 348}"
4,"['Chien de mer au four ', '']",- poisson -   pommes de terre -    tomates - poivrons   - piment fort  -  huile -   persil  -    thym      -    laurier      -    poivre noir  -sel  -     coriandre  -    ail  -   cumin  -   poivre rouge -    piment fort   -sel -   huile  ,"{'cumin': 332, 'poivrons': 339, 'coriandre': 254, 'pommes de terre': 373, 'huile': 901, 'ail': 259, 'poisson': 151, 'sel': 778, 'thym': 269, 'poivre noir': 399, 'tomates': 364, 'poivre rouge': 339, 'piment fort': 362, 'persil': 338, 'laurier': 305}"
5,"[' Crevettes en sauce tomate ', '']",-    crevettes  -   huile  -   tomates -   persil  -    ail  -    poivre noir  -    sel  -     poivre rouge -    thym      -    laurier      - piment rouge     ,"{'crevettes': 145, 'huile': 901, 'ail': 259, 'sel': 778, 'poivre noir': 399, 'thym': 269, 'piment rouge': 362, 'tomates': 364, 'poivre rouge': 339, 'persil': 338, 'laurier': 305}"
6,"[' Crevettes sautées ', 'Qamroun maqli ', '']",-    crevettes  -    ail -   persil  -   huile  olive  -    poivre rouge  -   poivre noir  -sel  -huile     ,"{'crevettes': 145, 'huile': 901, 'ail': 259, 'huile  olive': 979, 'sel': 778, 'poivre noir': 399, 'poivre rouge': 339, 'persil': 338}"
7,"[' Daurade farcie ', '']",- daurade       -   persil  -   câpres  -   olives    - œuf    - œuf    -   beurre  -   gruyère  -  safran  -    poivre noir  -    sel  - citron   ,"{'olives': 307, 'œuf': 0, 'beurre': 60, 'daurade': 722, 'gruyère': 73, 'safran': 340, 'sel': 778, 'poivre noir': 399, 'câpres': 414, 'citron': 240, 'persil': 338}"
8,"[' Daurade en sauce (mqalli)', '']",- daurade  -   huile  olive  -   gingembre  -   safran  -   chermoula - citron    -  olives   -     coriandre  -    ail  -   cumin  -   poivre rouge -    piment fort   -sel -   huile  olive  ,"{'cumin': 332, 'olives': 307, 'coriandre': 254, 'piment fort': 362, 'daurade': 722, 'ail': 259, 'huile  olive': 979, 'gingembre': 333, 'safran': 340, 'oignon': 348, 'persil': 338, 'poivre rouge': 339, 'poivre noir': 399, 'citron': 240, 'farine': 920, 'sel': 778, 'huile': 901}"
9,"[' Kabkabou ', '']",-   mérou -   huile -   oignons    -     tomate  -   câpres  -   gruyère  - œufs  -   poivre noir  -    sel  ,"{'œufs': 0, 'huile': 901, 'mérou': 565, 'tomate': 364, 'gruyère': 73, 'sel': 778, 'poivre noir': 399, 'câpres': 414, 'oignons': 348}"
10,"[' Mérou en complet ', '']",-   mérou     -   pommes de terre  -   tomates -   poivrons  -   piment - œufs  -   cumin  -   poivre rouge -sel -huile     ,"{'cumin': 332, 'poivrons': 339, 'pommes de terre': 373, 'mérou': 565, 'œufs': 0, 'huile': 901, 'sel': 778, 'tomates': 364, 'poivre rouge': 339, 'piment': 362}"
