,recipe_name,Ingredients,Ingredients_alpha
0,"[' Abats  en ""chminka""', '']",- cœur  agneau -   foie  agneau -   poumons -   gras   -   pois chiches   -   navets -   huile -   persil -    ail - oignon     -     tomates -    harissa -   poivre   -   tabel -    sel  ,"{'huile': 901, 'persil': 338, 'sel': 778, 'piment rouge ': 362, 'ail': 259, 'coriandre ': 254, 'carvi ': 326, ' huile ': 901, 'poumons': None, 'tomates': 364, 'poivre': 339, 'foie  agneau': None, 'navets': 358, 'gras': None, 'tabel': None, 'pois chiches': 417, 'oignon': 348, 'cœur  agneau': None}"
1,"[' Abats kamounia', '']",- cœur  agneau -   foie -   poumons -  huile -   oignon   -     tomates -    poivre   -   tabel -    cumin -    sel  ,"{'sel': 778, 'tomates': 364, 'foie': None, 'poivre': 339, 'cœur  agneau': None, 'poumons': None, 'cumin': 332, 'tabel': None, 'oignon': 348, 'huile': 901}"
2,"[' Bekbouka marocaine', '']",-tripes    agneaux -fressures    agneaux - oignon     -   pois chiches   -  riz -   coriandre -   persil -   raisins   -   safran -    gingembre -   poivre noir -    cannelle -    sel -huile  ,"{'safran': 340, 'coriandre': 254, 'persil': 338, 'fressures    agneaux': None, 'raisins': 182, 'gingembre': 333, 'poivre noir': 399, 'sel': 778, 'tripes    agneaux': None, 'riz': 55, 'pois chiches': 417, 'oignon': 348, 'cannelle': 330, 'huile': 901}"
3,"[' Bekbouka aux pommes de terre', '']",- bekboukas  -   pois chiches   -    pommes de terre - oignon     -   tomates -   huile -    persil -    poivre noir -   poivre   -    sel -tripes    mouton - fressure de mouton -   pois chiches   - oignon     -   riz -   piment fort   -   persil -   coriandre -   poivre   -    poivre noir -    sel  ,"{'piment fort': 362, 'coriandre': 254, 'persil': 338, 'poivre noir': 399, 'tomates': 364, 'poivre': 339, 'tripes    mouton': None, 'fressure de mouton': None, 'bekboukas': None, 'sel': 778, 'pois chiches': 417, 'oignon': 348, 'riz': 55, 'pommes de terre': 373, 'huile': 901}"
4,"[' Bekbouka tunisienne', '']",-tripes et poumon    agneau de lait - foie et  cœur  agneau -   blettes -   persil -  huile -    riz -   graisse de queue de mouton -   oignon   -    ail -    menthe       -   tabel -   poivre   -    poivre noir -    sel  ,"{'foie et  cœur  agneau': None, 'blettes': 382, 'persil': 338, 'oignon': 348, 'poivre noir': 399, 'sel': 778, 'ail': 259, 'poivre': 339, 'menthe': 262, 'graisse de queue de mouton': None, 'riz': 55, 'tabel': None, 'tripes et poumon    agneau de lait': None, 'huile': 901}"
5,"[' Boyau farci en sauce', 'Dolma mesrane bel-djelbana', '']",-   intestins de mouton -      pois   -   carottes -   smen -   huile -     coriandre - oignons   -    poivre noir -    curcuma -    cannelle -    sel -   huile  -   beurre -   viande     - oignon     -   persil - œufs -   riz -    poivre noir -    cannelle -    sel  ,"{'carottes': 368, 'coriandre': 254, 'poivre noir': 399, 'persil': 338, 'oignons': 348, 'smen': 60, 'beurre': 60, 'curcuma': 341, 'pois': 288, 'viande': 276, 'œufs': 0, 'intestins de mouton': None, 'sel': 778, 'oignon': 348, 'riz': 55, 'cannelle': 330, 'huile': 901}"
6,"[' Boyau farci en sauce piquante', 'Dolmz mesranr be dersa', '']",-     mouton -   intestin de mouton  -   pois chiches   -   smen -   huile -   viande     -   persil -    cannelle -   riz - œuf -   poivre   - piment     -    cumin -    ail -   sel  ,"{'œuf': 0, 'cumin': 332, 'intestin de mouton': None, 'persil': 338, 'sel': 778, 'poivre': 339, 'ail': 259, 'piment': 362, 'viande': 276, 'smen': 60, 'riz': 55, 'pois chiches': 417, 'mouton': 277, 'cannelle': 330, 'huile': 901}"
7,"["" Cervelle d'agneau en sauce"", 'Tajine el-mokh', '']",- crevelles  agneau -  ail -   huile - pommees de terre   -   piment fort   -   poivre   -   cumin -    sel - œufs  ,"{'pommees de terre': 373, 'piment fort': 362, 'crevelles  agneau': None, 'ail': 259, 'poivre': 339, 'œufs': 0, 'cumin': 332, 'sel': 778, 'huile': 901}"
8,"[' Cervelle de veau en sauce', '']", - cervelles de veau -    ail -   huile -    jus de citron  -     coriandre -   poivre   -     piment fort   -   cumin -   sel  ,"{'piment fort': 362, 'coriandre': 254, 'ail': 259, 'poivre': 339, 'cervelles de veau': None, 'jus de citron': None, 'cumin': 332, 'sel': 778, 'huile': 901}"
9,"[' Douwara', '']",-tripes de  agneau -   huile -    ail - oignon     -   coriandre -    poivre   -    cumin -    piment fort   -    sel -   vinaigre  ,"{'piment fort': 362, 'vinaigre': 322, 'coriandre': 254, 'tripes de  agneau': None, 'ail': 259, 'poivre': 339, 'cumin': 332, 'sel': 778, 'oignon': 348, 'huile': 901}"
10,"[' Foie en sauce rouge', 'kebsa marqa hamra', '']",- foie  agneau -   tomates -   oignon   -   huile -   persil -jus   citron -    sel -   cumin -   poivre   -     poivre noir  ,"{'persil': 338, 'poivre noir': 399, 'tomates': 364, 'poivre': 339, 'foie  agneau': None, 'cumin': 332, 'sel': 778, 'oignon': 348, 'jus   citron': None, 'huile': 901}"
11,"[' Foie mcharmel en sauce', '']",-   foie  agneau ou de veau -   persil -jus   citron -huile   -   farine -    ail -   coriandre -   vinaigre -    poivre   -   poivre noir -   cumin -     sel  ,"{'vinaigre': 322, 'coriandre': 254, 'persil': 338, 'poivre noir': 399, 'jus   citron': None, 'ail': 259, 'poivre': 339, 'foie  agneau': None, 'cumin': 332, 'sel': 778, 'farine': 920, 'huile': 901}"
12,"[' Langue de veau en tranches farcie ""skhabe"" (en tranches farcies)', '']",- langue de veau     - oœufs -   gruyère -   chapelure -huile   -sel -   viande - oignon     -   persil -   beurre - œuf -    poivre noir -     sel  ,"{'gruyère': 73, 'œuf': 0, 'oœufs': 0, 'persil': 338, 'poivre noir': 399, 'chapelure': 2, 'viande': 276, 'sel': 778, 'langue de veau': None, 'oignon': 348, 'beurre': 60, 'huile': 901}"
13,"[' Langue de veau farci aux olives', '']",- langue de bœuf -   viande   -   huile -  ail - œufs   - œufs   -     tomates -   persil -   olives     -   laurier -   thym -   poivre noir -    sel  ,"{'thym': 269, 'langue de bœuf': None, 'persil': 338, 'poivre noir': 399, 'ail': 259, 'tomates': 364, 'viande': 276, 'œufs': 0, 'laurier': 305, 'sel': 778, 'olives': 307, 'huile': 901}"
14,"[' Langue de veau en sauce tomate', 'lsène b-tomatich', '']",- langue de veau - oignon     -   clous de grifole - bouquet garni - persil -    poivre noir -   sel -   tomates -      tomates -   beurre -    sel -    poivre noir -   persil -    thym     -    laurier     - oignons     -    ail -   sucre  ,"{'thym': 269, 'carottes': 368, 'navet': 358, 'poireau': 345, 'céleri': 329, 'persil': 338, 'poivre noir': 399, 'oignons': 348, 'sucre': 781, 'tomates': 364, 'ail': 259, 'clous de grifole': 331, 'laurier': 305, 'sel': 778, 'langue de veau': None, 'oignon': 348, 'beurre': 60}"
15,"[' Rognons  blancs en sauce', '']",-    rognons  blancs de mouton  -    poivre   -    cumin -    cannelle -   beurre -sel  ,"{'rognons  blancs de mouton': None, 'cannelle': 330, 'poivre': 339, 'cumin': 332, 'sel': 778, 'beurre': 60}"
16,"[' Medfouna', 'tête de veau aux blettes', '']",-   tete de veau     -   blettes -  huile -haricots   -  ail - oignon vert -     tomates -   tabel -    sel -   poivre   -    carvi  ,"{'blettes': 382, 'oignon vert': 472, 'sel': 778, 'haricots': 284, 'tete de veau': None, 'ail': 259, 'tomates': 364, 'poivre': 339, 'carvi': 326, 'tabel': None, 'huile': 901}"
17,"[' Rognons  blancs aux oignons et aux pois chiches (sauce qadra)', '']",-   rognons  blancs -   pois chiches   -   oignons   -   persil -   beurre -   safran -   poivre noir -sel  ,"{'rognons  blancs': None, 'safran': 340, 'persil': 338, 'poivre noir': 399, 'oignons': 348, 'sel': 778, 'pois chiches': 417, 'beurre': 60}"
18,"[' Tête d\'agneau rotie ""mosli""', '']",-    tetes  agneau -   huile -   beurre -  ail -   pommes de terre - tomates   - poivrons - oignon     -   harissa -   persil - citron  -    carvi -   cumin  -    tabel -    curcuma  -     muscade     -   poivre noir -sel  ,"{'tetes  agneau': None, 'cumin': 332, 'persil': 338, 'citron': 240, 'beurre': 60, 'piment rouge ': 362, 'ail': 259, 'coriandre ': 254, 'sel': 778, 'carvi ': 326, ' huile ': 901, 'tomates': 364, 'curcuma': 341, 'muscade': 336, 'poivre noir': 399, 'poivrons': 339, 'carvi': 326, 'tabel': None, 'oignon': 348, 'pommes de terre': 373, 'huile': 901}"
19,"["" Tête d'agneau en sauce"", 'Hergma', '']", - tete  agneau -   oignon   -    ail -   huile -   pois chiches   -   tomates -   persil -    poivre   -    cumin  -    poivre noir -   sel  ,"{'persil': 338, 'poivre noir': 399, 'ail': 259, 'tete  agneau': None, 'tomates': 364, 'poivre': 339, 'cumin': 332, 'sel': 778, 'pois chiches': 417, 'oignon': 348, 'huile': 901}"
20,"[' Tête de mouton à la vapeur', '']",- tetes de mouton  -sel -cumin -poivre noir  ,"{'tetes de mouton': None, 'sel': 778, 'poivre noir': 399, 'cumin': 332}"
21,"[' Tripes aux navets', 'Douwara be left ', '']",-tripe    mouton - fressure de mouton  -   navets -  ail -   pois chiches   -   huile -      tomates -   poivre   -    poivre noir -   sel - piment       ,"{'tripe    mouton': None, 'huile': 901, 'poivre noir': 399, 'ail': 259, 'tomates': 364, 'poivre': 339, 'piment': 362, 'navets': 358, 'sel': 778, 'pois chiches': 417, 'fressure de mouton': None}"
