Unnamed: 0,recipe_name,Ingredients,Ingredients_alpha,eng_Ingredients_alpha,Ingredients_string
0,"[' Abats  en ""chminka""', '']",- cœur    -   foie    -   poumons -   pois chiches   -   navets -   huile -   persil -    ail - oignon     -     tomates -    harissa -   poivre rouge -   tabel -    sel  ,"{'cœur': 276, 'foie': 276, 'poumons': 276, 'pois chiches': 417, 'navets': 358, 'huile': 901, 'persil': 338, 'ail': 259, 'oignon': 348, 'tomates': 364, 'piment rouge ': 362, 'coriandre ': 254, 'sel': 778, 'carvi ': 326, ' huile ': 901, 'poivre rouge': 339, 'tabel': 254}","{'meat': 276, 'meat': 276, 'meat': 276, 'chickpea': 417, 'turnip': 358, 'cooking oil': 901, 'parsley': 338, 'garlic ': 259, 'onion': 348, 'tomato': 364, 'capsicum ': 362, 'coriander ': 254, 'salt': 778, 'caraway': 326, 'cooking oil': 901, 'pepper ': 339, 'coriander ': 254} "," 'meat' ,'meat' , 'meat','chickpea' ,'turnip' ,'cooking oil' ,'parsley','garlic' , 'onion','tomato' , 'capsicum' , 'coriander' , 'salt', 'caraway' , 'pepper'"
1,"[' Abats kamounia', '']",- cœur    -   foie -   poumons -  huile -   oignon   -     tomates -    poivre rouge -   tabel -    cumin -    sel  ,"{'cœur': 276, 'foie': 276, 'poumons': 276, 'huile': 901, 'oignon': 348, 'tomates': 364, 'poivre rouge': 339, 'tabel': 254, 'cumin': 332, 'sel': 778}","{'meat': 276, 'meat': 276, 'meat': 276, 'cooking oil': 901, 'onion': 348, 'tomato': 364, 'pepper ': 339, 'coriander ': 254, 'cumin ': 332, 'salt': 778}","'meat'  ,   'meat' ,   'meat' ,  'cooking oil' ,   'onion'   ,     'tomato' ,    'pepper' ,  'coriander' ,    'cumin' ,   'salt' "
2,"[' Bekbouka marocaine', '']",-tripes      -fressures      - oignon     -   pois chiches   -  riz -   coriandre -   persil -   raisins  -   safran -    gingembre -   poivre noir -    cannelle -    sel -huile  ,"{'tripes': 276, 'fressures': 276, 'oignon': 348, 'pois chiches': 417, 'riz': 55, 'coriandre': 254, 'persil': 338, 'raisins ': 182, 'safran': 340, 'gingembre': 333, 'poivre noir': 399, 'cannelle': 330, 'sel': 778, 'huile': 901}","{'meat': 276, 'meat': 276, 'onion': 348, 'chickpea': 417, 'rice': 55, 'coriander ': 254, 'parsley': 338, 'grape  ': 182, 'saffron': 340, 'ginger ': 333, 'pepper ': 399, 'cinnamon': 330, 'salt': 778, 'cooking oil': 901} "," 'meat' , 'meat'    , 'onion' , 'chickpea'  ,  'rice' ,   'coriander'  ,   'parsley' ,   'grape'   ,   'saffron'  ,    'ginger'  ,  'pepper' ,    'cinnamon'  ,    'salt' , 'cooking oil'  "
3,"[' Bekbouka aux pommes de terre', '']",- bekboukas  -   pois chiches   -    pommes de terre - oignon     -   tomates -   huile -    persil -    poivre noir -   poivre rouge -    sel -tripes      - fressure   -   pois chiches   - oignon     -   riz -   piment fort   -   persil -   coriandre -   poivre rouge -    poivre noir -    sel  ,"{'bekboukas': 276, 'pois chiches': 417, 'pommes de terre': 373, 'oignon': 348, 'tomates': 364, 'huile': 901, 'persil': 338, 'poivre noir': 399, 'poivre rouge': 339, 'sel': 778, 'tripes': 276, 'fressure': 276, 'riz': 55, 'piment fort': 362, 'coriandre': 254}","{'meat': 276, 'chickpea': 417, 'potato ': 373, 'onion': 348, 'tomato': 364, 'cooking oil': 901, 'parsley': 338, 'white pepper': 399, 'pepper': 339, 'salt': 778, 'meat': 276, 'meat': 276, 'rice': 55, 'capsicum ': 362, 'coriander ': 254}","'meat'  ,   'chickpea'   ,    'potato' , 'onion'     ,   'tomato' ,   'cooking oil' ,    'parsley' ,    'white pepper'  ,  'pepper'  ,    'salt' , 'meat' , 'meat'   ,   'rice'  , 'capsicum'  ,  'coriander'     "
4,"[' Bekbouka tunisienne', '']",-tripes      -poumon      - foie    - cœur    -   blettes -   persil -  huile -    riz -   oignon   -    ail -    menthe       -   tabel -   poivre rouge -    poivre noir -    sel  ,"{'tripes': 276, 'poumon': 276, 'foie': 276, 'cœur': 276, 'blettes': 382, 'persil': 338, 'huile': 901, 'riz': 55, 'oignon': 348, 'ail': 259, 'menthe': 262, 'tabel': 254, 'poivre rouge': 339, 'poivre noir': 399, 'sel': 778}","{'meat': 276, 'meat': 276, 'meat': 276, 'meat': 276, 'chard': 382, 'parsley': 338, 'cooking oil': 901, 'rice': 55, 'onion': 348, 'garlic ': 259, 'cherry pepper': 262, 'coriander ': 254, 'pepper ': 339, 'pepper ': 399, 'salt': 778}  ","'meat'  , 'meat' ,   'meat' ,  'meat' , 'chard'  , 'parsley'  , 'cooking oil' ,    'rice' ,   'onion'  ,    'garlic'  ,    'cherry pepper'  ,   'coriander'  ,   'pepper'  ,    'pepper'  ,    'salt'  "
5,"[' Boyau farci en sauce', 'Dolma mesrane bel-djelbana', '']",-   intestins   -      pois   -   carottes -   smen -   huile -     coriandre - oignons   -    poivre noir -    curcuma -    cannelle -    sel -   huile  -   beurre -   viande rouge   - oignon     -   persil - œufs -   riz -    poivre noir -    cannelle -    sel  ,"{'intestins': 276, 'pois': 288, 'carottes': 368, 'smen': 60, 'huile': 901, 'coriandre': 254, 'oignons': 348, 'poivre noir': 399, 'curcuma': 341, 'cannelle': 330, 'sel': 778, 'beurre': 60, 'viande rouge': 276, 'oignon': 348, 'persil': 338, 'œufs': 0, 'riz': 55}","{'meat': 276, 'soybean ': 288, 'carrot ': 368, 'butter': 60, 'cooking oil': 901, 'coriander ': 254, 'onion': 348, 'pepper': 399, 'turmeric': 341, 'cinnamon ': 330, 'salt': 778, 'butter': 60, 'meat': 276, 'onion': 348, 'parsley': 338, 'egg': 0, 'rice': 55}  ","'meat' ,   'soybean',   'carrot' ,   'butter' , 'cooking oil' ,     'coriander' , 'onion' ,   'pepper' , 'turmeric' ,    'cinnamon'  ,    'salt' ,   'cooking oil'  ,   'butter' ,   'meat' , 'onion' ,   'pepper' , 'egg',   'rice'  "
6,"[' Boyau farci en sauce piquante', 'Dolmz mesranr be dersa', '']",- intestin    -   pois chiches   -   smen -   huile -   viande rouge   -   persil -    cannelle -   riz - œuf -   poivre rouge - piment rouge   -    cumin -    ail -   sel  ,"{'intestin': 276, 'pois chiches': 417, 'smen': 60, 'huile': 901, 'viande rouge': 276, 'persil': 338, 'cannelle': 330, 'riz': 55, 'œuf': 0, 'poivre rouge': 339, 'piment rouge': 362, 'cumin': 332, 'ail': 259, 'sel': 778}","{'meat': 276, 'chickpea': 417, 'butter ': 60, 'cooking oil': 901, 'meat': 276, 'parsley': 338, 'cinnamon ': 330, 'rice': 55, 'egg': 0, 'pepper ': 339, 'capsicum ': 362, 'cumin': 332, 'garlic ': 259, 'salt': 778}  ","'meat' , 'chickpea'  , 'butter' ,   'cooking oil' ,   'meat'  ,   'parsley' ,    'cinnamon' ,   'rice' , 'egg' ,  'pepper' , 'capsicum'  ,    'cumin' ,    'garlic' ,   'salt'  "
7,"["" Cervelle d'agneau en sauce"", 'Tajine el-mokh', '']",- crevelles    -  ail -   huile - pommees de terre   -   piment fort   -   poivre rouge -   cumin -    sel - œufs  ,"{'crevelles': 142, 'ail': 259, 'huile': 901, 'pommees de terre': 373, 'piment fort': 362, 'poivre rouge': 339, 'cumin': 332, 'sel': 778, 'œufs': 0}","{'prawn ': 142, 'garlic ': 259, 'cooking oil': 901, 'potato ': 373, 'capsicum ': 362, 'pepper': 339, 'cumin': 332, 'salt': 778, 'egg ': 0}","  'prawn'  , 'garlic' ,    'cooking oil' ,  'potato' ,      'capsicum' ,   'pepper' ,   'cumin' ,   'salt' , 'egg' "
8,"[' Cervelle de veau en sauce', '']", - cervelles   -    ail -   huile -    jus  citron  -     coriandre -   poivre rouge -     piment fort   -   cumin -   sel  ,"{'cervelles': 276, 'ail': 259, 'huile': 901, 'jus citron': 240, 'coriandre': 254, 'poivre rouge': 339, 'piment fort': 362, 'cumin': 332, 'sel': 778}","{'meat': 276, 'garlic ': 259, 'cooking oil': 901, 'lemon': 240, 'coriander ': 254, 'pepper': 339, 'capsicum ': 362, 'cumin': 332, 'salt': 778}  "," 'meat',  'garlic' , 'cooking oil' ,  'lemon' , 'coriander' ,  'pepper' , 'capsicum' ,  'cumin'  ,  'salt'  "
9,"[' Douwara', '']",-tripes  -   huile -    ail - oignon     -   coriandre -    poivre rouge -    cumin -    piment fort   -    sel -   vinaigre  ,"{'tripes ': 276, 'huile': 901, 'ail': 259, 'oignon': 348, 'coriandre': 254, 'poivre rouge': 339, 'cumin': 332, 'piment fort': 362, 'sel': 778, 'vinaigre': 322}","{'meat ': 276, 'cooking oil': 901, 'garlic ': 259, 'onion': 348, 'coriander ': 254, 'pepper ': 339, 'cumin': 332, 'capsicum ': 362, 'salt': 778, 'vinegar ': 322}  ","'meat'  ,'cooking oil' ,'garlic' ,'onion','coriander'  ,'pepper' ,'cumin'  ,'capsicum' ,'salt' ,'vinegar'   "
