,recipe_name,Ingredients,Ingredients_alpha
0,"[' Achoura', '']",-   blè   -    eau -   sucre -   fruits secs   -fruits secs  ,"{'eau': 794, 'blè': 452, 'sucre': 781, 'noix': 297, 'noisettes': 293, 'pistache': 439, 'amande': 281}"
1,"[' Acida aux noisettes', '']",-   farine -   sucre     -   lait -   noisettes   -   fruits secs     - crème simple  ,"{'lait': 88, 'sucre': 781, 'œufs': 0, 'maïzena': None, 'eau de rose': None, 'noisettes': 293, 'noix': 297, 'pistache': 439, 'amande': 281, 'farine': 920}"
2,"[' Acida de tataouine', '']",-   farine -    eau -    sel -huile  ,"{'eau': 794, 'sel': 778, 'farine': 920, 'huile': 901}"
3,"[' Acida de grains de pin (zgougou)', '']",-   farine -   lait  -   sucre     -   grains de pin -   fruits secs - crème simple  ,"{'lait': 88, 'grains de pin': None, 'sucre': 781, 'œufs': 0, 'maïzena': None, 'eau de rose': None, 'noix': 297, 'noisettes': 293, 'pistache': 439, 'amande': 281, 'farine': 920}"
4,"[' Baghrir', '']",-   semouline -   farine -   eau -    lait  - œufs -   levure de boulanger -sel  ,"{'levure de boulanger': None, 'lait': 88, 'eau': 794, 'semouline': 869, 'œufs': 0, 'sel': 778, 'farine': 920}"
5,"[' Bastèla aux amandes et au lait', '']",-        bastèla -   amandes   -   sucre     -   lait - œufs -  huile -   beurre -    eau de fleur  oranger  ,"{'eau de fleur  oranger': 121, 'lait': 88, 'sucre': 781, 'amandes': 281, 'beurre': 60, 'œufs': 0, 'semouline': 869, 'farine': 920, 'sel': 778, 'water': 794, 'huile': 901}"
6,"[' Beignets', 'ftayer = khfaf = sfendj', '']",-   farine -    levure de boulanger -    sel -  eau   -huile    ,"{'levure de boulanger': None, 'eau': 794, 'sel': 778, 'farine': 920, 'huile': 901}"
7,"[' Belouza aux amondes', '']",-   lait -   ma zena -   amandes     -   amandes   -   sucre     - jaunes  œufs  ,"{'lait': 88, 'ma zena': None, 'amandes': 281, 'sucre': 781, 'jaunes  œufs': None}"
8,"[' Briouats au riz', '']",-   riz -    lait  -      eau -   beurre -    sel -    sucre     -   eau de fleur  oranger  ,"{'eau de fleur  oranger': 121, 'lait': 88, 'eau': 794, 'sel': 778, 'sucre': 781, 'riz': 55, 'beurre': 60}"
9,"[' Crème blanche', '']",-   lait -   sucre -   ma zena -   eau de fleur  oranger   ,"{'ma zena': None, 'sucre': 781, 'lait': 88, 'eau de fleur  oranger': 121}"
10,"[' Crème simple', '']",-    lait  - jaunes  œufs -   ma zena -   sucre     -   eau de rose  ,"{'lait': 88, 'ma zena': None, 'sucre': 781, 'eau de rose': None, 'jaunes  œufs': None}"
11,"[' Merfoussa', 'crêpes aux dattes', '']",-    trid -    beurre ou smen -    dattes -sucre   -   semouline -   farine -     sel -eau -huile -oignon  ,"{'eau': 794, 'dattes': 177, 'sucre': 781, 'semouline': 869, 'farine': 920, 'sel': 778, 'oignon': 348, 'beurre': 60, 'huile': 901}"
12,"[' Crêpes aux raisins secs', '']",-   semouline -   farine - œufs -   beurre   -   raisins secs   -   levure de boulanger -    sel -eau -beurre -miel ou sucre -jaune  œuf  ,"{'levure de boulanger': None, 'eau': 794, 'raisins secs': 212, 'semouline': 869, 'œufs': 0, 'jaune  œuf': None, 'miel': 315, 'sel': 778, 'farine': 920, 'beurre': 60}"
13,"[' Flan à la farine', '']",-   farine -   sucre     - œufs -beurre -    sucre vanillè -   lait  ,"{'lait': 88, 'sucre vanillè': None, 'sucre': 781, 'œufs': 0, 'farine': 920, 'beurre': 60}"
14,"[' Flan aux pommes', '']",-  pommes   -     lait   - œufs -   sucre     -    farine -beurre -   sucre vanillè -jus   citron  ,"{'lait': 88, 'sucre': 781, 'sucre vanillè': None, 'jus   citron': None, 'œufs': 0, 'farine': 920, 'beurre': 60, 'pommes': 162}"
15,"[' Halouet el-megharef', '']",-   semouline -   miel   -   smen ou de beurre -   noix -   pistaches     -    eau -   sucre -   jus de citron  ,"{'eau': 794, 'sucre': 781, 'noix': 297, 'pistaches': 439, 'semouline': 869, 'jus de citron': None, 'miel': 315, 'smen': 60}"
16,"[' Maloui', '']",-   farine -   levure de boulanger -   sel -eau -huile -   beurre -miel ou sucre      ,"{'levure de boulanger': None, 'eau': 794, 'miel': 315, 'sel': 778, 'farine': 920, 'beurre': 60, 'huile': 901}"
17,"[' Mahkouka', '']",-   semoule  e -   dattes   -  huile -   sel -   sucre   -   beurre -   eau de rose -   eau -   sucre     -   jus de citron  ,"{'eau': 794, 'dattes': 177, 'sucre': 781, 'eau de rose': None, 'semoule  e': 869, 'jus de citron': None, 'sel': 778, 'beurre': 60, 'huile': 901}"
18,"["" Maloui farci au khli'"", '']",-   farine -   levure de boulanger -       graisse -     sel -   oignon  -eau -huile  ,"{'graisse': None, 'levure de boulanger': None, 'eau': 794, 'sel': 778, 'oignon': 348, 'farine': 920, 'huile': 901}"
19,"[' Mtaqba be dourmane', 'Losanges de semoule aux herbes', '']",-   semoule   -  huile -     eau -     sel   -   dourmane -    menthe  ,"{'semoule': 869, 'eau': 794, 'dourmane': 350, 'menthe': 262, 'sel': 778, 'huile': 901}"
20,"[' Medmoudja', '']",- ftayer -   dattes   -   beurre -   sucre   -     eau de rose -   sucre -  eau - jus    citron  ,"{'eau': 794, 'dattes': 177, 'sucre': 781, 'eau de rose': None, 'jus    citron': None, 'beurre': 60, 'farine': 920, 'levure de boulanger': None, 'sel': 778, 'huile': 901}"
21,"[' Rghaief oudnine el-qadi', 'carrès de pate au miel et au beurre', '']",-   farine -   sel -   levure de boulanger -eau -huile -   beurre  -miel  ,"{'levure de boulanger': None, 'eau': 794, 'miel': 315, 'sel': 778, 'farine': 920, 'beurre': 60, 'huile': 901}"
