,recipe_name,Ingredients,Ingredients_alpha
0,"[' Artichauts farcis', '']",-    agneau   -   artichauts   -   beurre -   huile -    farine -    lait -   gruyère   -   oignon   - œuf   -poivre noir -sel -   persil    ,"{'artichauts': 157, 'gruyère': 73, 'lait': 88, 'œuf': 0, 'poivre noir': 399, 'persil': 338, 'agneau': 275, 'sel': 778, 'oignon': 348, 'farine': 920, 'beurre': 60, 'huile': 901}"
1,"[' Aubergines farcies ', '']", -    agneau - aubergines - oignon      -    ail -   beurre  - œufs   - œufs   -   persil  -   sel -    poivre noir  -  huile   ,"{'aubergines': 387, 'persil': 338, 'poivre noir': 399, 'agneau': 275, 'ail': 259, 'œufs': 0, 'sel': 778, 'oignon': 348, 'beurre': 60, 'huile': 901}"
2,"[' Beignets de cervelle', '']",- cervelle  agneau  -   farine - œuf -    ail -   persil      -    cumin  -  poivre noir  -  sel -huile     ,"{'cervelle  agneau': None, 'œuf': 0, 'persil': 338, 'poivre noir': 399, 'ail': 259, 'cumin': 332, 'sel': 778, 'farine': 920, 'huile': 901}"
3,"[' Banadej au poulet ', '']", -    pommes de terre  -   poulet  - œufs  -   farine  -   persil  -   oignon   -    poivre noir  -sel -huile     ,"{'huile': 901, 'persil': 338, 'poivre noir': 399, 'œufs': 0, 'sel': 778, 'oignon': 348, 'farine': 920, 'pommes de terre': 373, 'poulet': 272}"
4,"[' Bastéla ', '']",-       bastèla - pigeons ou    poulets -   beurre  - œufs - oignons  -     coriandre  -     persil -   amandes  -   sucre     -    cannelle  -    gingembre - clous de girofle -    poivre noir  -     safran    -sel -   eau de fleur  oranger  -huile     ,"{'clous de girofle': 331, 'eau de fleur  oranger': 121, 'cannelle': 330, 'safran': 340, 'pigeons': 651, 'coriandre': 254, 'persil': 338, 'gingembre': 333, 'oignons': 348, 'amandes': 281, 'sucre': 781, 'poivre noir': 399, 'semouline': 869, 'farine': 920, 'sel': 778, 'water': 794, 'œufs': 0, 'beurre': 60, 'huile': 901}"
5,"["" Brick à l'oeuf "", 'Chaussons aux œufs', '']",-     malsouqa  - œufs  - oignon      -    céleri -    poivre noir  - citron  -sel - œuf  -huile     ,"{'œuf': 0, 'poivre noir': 399, 'citron': 240, 'céleri': 329, 'œufs': 0, 'semouline': 869, 'farine': 920, 'sel': 778, 'water': 794, 'oignon': 348, 'huile': 901}"
6,"[' Brik au thon ', '']",-   thon blanc   - œufs  -    fromage   -    beurre -  huile  olives -    persil - oignon  -   câpres  -   malsouqa -    poivre noir  -sel  - citron -huile     ,"{'persil': 338, 'poivre noir': 399, 'citron': 240, 'câpres': 414, 'œufs': 0, 'thon blanc': 679, 'semouline': 869, 'farine': 920, 'sel': 778, 'water': 794, 'huile  olives': 979, 'oignon': 348, 'fromage': 62, 'beurre': 60, 'huile': 901}"
7,"[' Brik au poulet et aux crevettes', '']",-   poulet  -   crevettes    -   oignon  -   smen -   malsouqa -   persil  -    poivre noir -sel -huile    ,"{'huile': 901, 'persil': 338, 'poivre noir': 399, 'crevettes': 145, 'semouline': 869, 'farine': 920, 'sel': 778, 'water': 794, 'smen': 60, 'oignon': 348, 'poulet': 272}"
8,"[' BRIKA ', '']",-   malsouqa -    agneau  -   fromage -   gruyère  - œufs    - œufs     - œuf       -   beurre    -    poivre noir  -sel  ,"{'gruyère': 73, 'œuf': 0, 'poivre noir': 399, 'agneau': 275, 'œufs': 0, 'semouline': 869, 'farine': 920, 'sel': 778, 'water': 794, 'fromage': 62, 'beurre': 60}"
9,"[' Briouats à la cervelle ', '']",- cervelles de bœuf  - oignon  - carotte - navet - poireau  - oeuf  -   beurre -   poivre noir -   bastèla -    thym      -    laurier      -     persil  -     coriandre  -sel -huile    ,"{'thym': 269, 'navet': 358, 'coriandre': 254, 'poivre noir': 399, 'persil': 338, 'beurre': 60, 'cervelles de bœuf': None, 'carotte': 368, 'semouline': 869, 'farine': 920, 'sel': 778, 'water': 794, 'oeuf': 0, 'laurier': 305, 'oignon': 348, 'poireau': 345, 'huile': 901}"
