,recipe_name,Ingredients,Ingredients_alpha
0,"[' Aubergines en ratatouille', 'Badendjel zaalouk', '']",-   aubergines -   tomates -  ail - piment rouge   -    sel -    poivre rouge -   carvi -   huile  ,"{'huile': 901, 'aubergines': 387, 'ail': 259, 'sel': 778, 'tomates': 364, 'poivre rouge': 339, 'piment rouge': 362, 'carvi': 326}"
1,"[' Bessara', 'Fèves sèches en purèe', '']",-   fèves     -    ail -    sel -   poivre rouge -    piment fort -   cumin  -jus   citron  -huile  olives  ,"{'cumin': 332, 'ail': 259, 'huile  olives': 979, 'jus   citron': None, 'sel': 778, 'fèves': 284, 'poivre rouge': 339, 'piment fort': 362}"
2,"["" Chkchouka d'aubergines"", '']",-   aubergines -   tomates - poivrons - oignons  s   -   huile -    tabel -sel -    harissa -   viande    ,"{'poivrons': 339, 'huile': 901, 'aubergines': 387, 'viande': 276, 'tabel': None, 'oignons  s': 348, 'piment rouge ': 362, 'ail': 259, 'coriandre ': 254, 'sel': 778, 'carvi ': 326, ' huile ': 901, 'tomates': 364}"
3,"[' Chakchouka de printemps', '']",-   fèves       -   artichauts - pommes de terre - carottes -   oignons  s -   huile -    ail -   carvi -    tabel -    poivre noir -    sel -    harissa - œufs  ,"{'pommes de terre': 373, 'huile': 901, 'œufs': 0, 'carottes': 368, 'oignons  s': 348, 'ail': 259, 'tabel': None, 'piment rouge ': 362, 'coriandre ': 254, 'sel': 778, 'carvi ': 326, ' huile ': 901, 'artichauts': 157, 'fèves': 284, 'poivre noir': 399, 'carvi': 326}"
4,"[' Chakchouka de carottes', '']",-   carottes - oignon      -   huile  -      tomate  -     persil -sel  ,"{'huile': 901, 'tomate': 364, 'carottes': 368, 'sel': 778, 'oignon': 348, 'persil': 338}"
5,"[' Chkchouka de chou-fleur', '']",-   chou fleur - carottes - pommes de terre - oignon         -     tomate  -    harissa -   merguez -    ail - œufs -   huile  -    carvi -    poivre noir -sel  ,"{'pommes de terre': 373, 'œufs': 0, 'tomate': 364, 'huile': 901, 'carottes': 368, 'merguez': None, 'ail': 259, 'piment rouge ': 362, 'coriandre ': 254, 'sel': 778, 'carvi ': 326, ' huile ': 901, 'chou fleur': 354, 'oignon': 348, 'poivre noir': 399, 'carvi': 326}"
6,"[' Chakchouka aux champignons', '']",-   champignons -   tomates - poivrons -   oignon   -   huile -     tomate -   poivre rouge -   tabel -    sel - œufs  ,"{'poivrons': 339, 'œufs': 0, 'huile': 901, 'champignons': 246, 'tomate': 364, 'tabel': None, 'sel': 778, 'oignon': 348, 'tomates': 364, 'poivre rouge': 339}"
7,"[' Chakchouka de fèves ècossèes', '']",-   fèves     -   blettes -   artichauts -   oignon   -     tomate -   harissa -   huile -   tabel -    ail -   carvi -    poivre rouge -    sel  ,"{'huile': 901, 'tomate': 364, 'tabel': None, 'ail': 259, 'piment rouge ': 362, 'coriandre ': 254, 'sel': 778, 'carvi ': 326, ' huile ': 901, 'artichauts': 157, 'blettes': 382, 'fèves': 284, 'oignon': 348, 'poivre rouge': 339, 'carvi': 326}"
8,"[' Chkchouka de fèves fraîches en gousses', '']",-   fèves     -   blette -   oignon   -      tomate -   huile -   persil -    poivre rouge -     tabel -     sel  ,"{'huile': 901, 'tomate': 364, 'tabel': None, 'blette': 382, 'sel': 778, 'oignon': 348, 'fèves': 284, 'poivre rouge': 339, 'persil': 338}"
9,"[' Chakchouka aux meguez', '']",- aubergines - courgettes - tomates - oignons -    ail - poivrons   -   persil - œufs - merguez -  huile  olives -    poivre noir -    sel  ,"{'poivrons': 339, 'œufs': 0, 'aubergines': 387, 'ail': 259, 'merguez': None, 'huile  olives': 979, 'persil': 338, 'courgettes': 968, 'sel': 778, 'poivre noir': 399, 'tomates': 364, 'oignons': 348}"
10,"[' Chou fleur en sauce', 'flor mcharmel', '']",- chou fleur      -    ail -   huile -   tomates -   poivre rouge -sel -   vinaigre - œufs -   farine -huile    ,"{'farine': 920, 'œufs': 0, 'huile': 901, 'ail': 259, 'chou fleur': 354, 'sel': 778, 'tomates': 364, 'poivre rouge': 339, 'vinaigre': 322}"
11,"[' Courge rouge au miel', '']",-    courge rouge -   miel   -   huile -   gingembre -sel  ,"{'miel': 315, 'huile': 901, 'gingembre': 333, 'sel': 778, 'courge rouge': 209}"
12,"[' Croquettes de pommes de terre', 'Adjeidjat al-batata', '']",-   pommes de terre  -   oignons  s  -     ail -   vinaigre - œufs -farine -sel -    cumin -    poivre noir - piment rouge    ,"{'cumin': 332, 'farine': 920, 'œufs': 0, 'pommes de terre': 373, 'ail': 259, 'oignons  s': 348, 'sel': 778, 'poivre noir': 399, 'piment rouge': 362, 'vinaigre': 322}"
13,"[' Croquettes de chou-fleur', '']",-   chou fleur -   farine -   chapelure -   gruyère   -    ail -   poivre noir -sel -huile    ,"{'farine': 920, 'huile': 901, 'gruyère': 73, 'ail': 259, 'chapelure': 2, 'chou fleur': 354, 'sel': 778, 'poivre noir': 399}"
14,"[' Fèves ècossèes en sauce', '']",-   fèves     -    ail -   oignon   -   huile -   coriandre -   poivre rouge -   piment fort   -    sel -    cumin  ,"{'cumin': 332, 'coriandre': 254, 'huile': 901, 'ail': 259, 'sel': 778, 'oignon': 348, 'fèves': 284, 'poivre rouge': 339, 'piment fort': 362}"
15,"[' Haricots secs en sauce', '']",-   haricots  s   -    cardon -   persil -    ail -   huile - piment rouge   -    poivre rouge - tomate -    sel  ,"{'huile': 901, 'cardon': 527, 'tomate': 364, 'ail': 259, 'sel': 778, 'piment rouge': 362, 'poivre rouge': 339, 'persil': 338, 'haricots  s': 284}"
